alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
6.708441371,71.19169221,12.83189862,10.20439233,6.960463138,8.6817619,8.561575996,6.668928629,0.265974331,0.039314116,0.410045879,0.288790915,0.022727273,0,28.17457577,31.35979392,16.61473799
28.4510444,26.3456127,9.935028895,17.89933772,6.125767814,6.096160531,6.036768548,6.010326245,0.107313838,0.54592467,0.611853708,0.330905354,0.295454545,0.090909091,16.7242391,61.13044642,65.02220082
7.460224702,43.19850255,11.49934369,26.85692065,6.615843121,9.245450247,8.841558933,6.586530995,0.239433277,0.02304771,0.072757566,0.407343464,0.204545455,0,23.5901037,25.52868236,14.3239296
28.43974921,26.3456127,9.935028895,17.89933772,6.265359737,6.096160531,6.01171504,6.010326245,0.107313838,0.54592467,0.610061997,0.326673958,0.295454545,0.090909091,16.79791631,57.39780729,60.35026037
11.11807425,14.12296519,5.100036355,5.311612251,8.414487142,7.563722553,8.51991421,9.290503526,0.02,0.045134666,0.034489322,0.284436654,0.25,0.045454545,21.14671179,11.75062006,0.007091869
34.29625725,26.71984892,25.06934207,26.92743283,6.225754349,6.023646897,6.450955486,6.025185997,0.081696637,0.039718775,0.024782785,0.396873456,0.25,0.113636364,17.14270434,56.0044968,58.33595529
10.83622576,65.30565889,30.84255306,18.18098483,6.164912327,6.32250162,6,6.006399503,0.52703944,0.020384219,0.625145594,0.136873405,0.136363636,0,23.37387291,85.04026352,87.20999983
34.18054037,26.68529192,30.33504531,18.85510903,6.310584531,6.019400764,6.042554241,6.024891427,0.215163154,0.57542201,0.639834091,0.042074721,0.25,0.113636364,16.91015491,63.3236934,67.43527189
10.68911835,22.19918537,20.1045654,27.51160554,6.332092994,6.934605068,6.16104274,6.290643759,0.460585349,0.023292158,0.024652666,0.269381423,0.295454545,0.045454545,17.97765611,35.21673164,32.02595624
9.825556453,22.71757722,28.11971118,29.77759413,6,6.727919649,6.188823026,6.177026505,0.067166023,0.021713493,0.028922272,0.052241685,0.25,0.045454545,17.73931271,53.04078399,54.12217554
28.2040342,18.14254632,2.243117912,1.299122977,7.823192416,9.255888068,7.728132453,7.800690192,0.412350197,0.042105703,0.027698606,0.023471245,0.295454545,0.022727273,21.43125058,12.00773066,0.027812611
28.5511791,66.3996304,22.25218504,26.73621257,8.064211925,9.5,8.568258797,7.871867224,0.727834767,0.02456189,0.044248155,0.144310117,0.045454545,0,28.52468629,24.40653714,7.73275313
3.775332691,21.45587702,5.911906651,10.56591128,6.486249133,7.125892506,6.02371704,6.312418273,0.457450002,0.063886809,0.03156066,0.179288425,0.295454545,0.045454545,18.01701613,33.89976582,30.33568247
6.726717557,61.36735525,25.88701696,11.24305405,6.592921914,6.808306849,6.005766598,6.341684626,0.257744022,0.031829103,0.045070436,0.391780447,0.113636364,0,24.55115729,51.60671597,45.0666877
17.4665712,21.57714392,31.62467387,10.44667419,6,7.094251283,6,6,0.487987678,0.454816099,0.02,0.184314993,0.25,0.045454545,17.48918173,64.24332555,68.04860321
19.14817785,23.96853853,1.16280681,15.39365107,7.559119388,8.030669464,6.886915847,6.793386973,0.189533019,0.584928945,0.021607595,0.12565897,0.295454545,0.022727273,20.19494727,14.67503056,4.578759361
19.90258771,57.60188539,28.56205645,9.831133717,6.237726949,7.142909054,6.026667357,6.326410922,0.472249467,0.02007062,0.024774395,0.072024652,0.136363636,0,24.16316347,55.93409751,50.81084689
7.436501003,15.00145871,20.30936875,24.51544193,7.395495669,7.413301444,8.52744611,7.99631093,0.224911583,0.643102487,0.02,0.021724083,0.25,0.045454545,20.59946872,11.67980541,0.495715233
5.601691374,19.67453722,22.87123927,26.93480985,7.576191061,7.079804505,7.3745318,7.395350606,0.747520748,0.021559445,0.021867393,0.036630632,0.272727273,0.068181818,20.24602579,12.41482821,1.760903569
30.73747002,22.38793102,25.05675089,26.47952472,6.230387264,6.277211536,6.281475298,6.206452069,0.75,0.100002109,0.068467372,0.75,0.272727273,0.090909091,17.42070526,44.28695127,43.70404852
32.80184244,17.80183323,17.27723908,15.49182068,7.599337261,7.421989656,7.889725309,8.054553732,0.747520748,0.37102207,0.02,0.179482623,0.272727273,0.045454545,20.56415194,11.42696034,0.222819315
7.672095809,49.69910711,12.31803277,7.465202072,7.579885372,9.477968229,8.799898228,7.400955385,0.435351079,0.03195505,0.022854858,0.417673396,0.181818182,0,25.72616229,19.62652541,4.832033083
11.65262495,57.5986781,23.87309172,4.310125156,6.127710552,9.479336117,6.003339401,6.028354657,0.110269573,0.022465985,0.033968453,0.160344583,0.136363636,0,24.04023889,62.47184045,59.01158891
6.453796954,26.21676311,5.534175132,11.04255454,6.288682057,7.354249755,6.006843987,6,0.02,0.020088721,0.069692085,0.238443235,0.295454545,0.022727273,18.06964001,47.85804939,47.39287974
6.774336947,22.00102079,15.071346,15.45089324,6.498517364,7.125766514,6.023664125,6.16144411,0.292987237,0.174699522,0.106056757,0.707461983,0.295454545,0.045454545,17.88419179,37.32697489,34.67553174
21.16883918,22.10622987,32.30415699,17.89089695,6.024360369,7.002089041,6,6.140744987,0.230868767,0.121296173,0.031730031,0.029959387,0.25,0.045454545,17.65952077,58.85229531,61.25666998
28.60486402,24.75030155,18.56032455,24.39242202,7.749920333,8.471858944,7.573735061,7.83640636,0.721439074,0.032687071,0.023023349,0.249489829,0.295454545,0.022727273,21.05331115,11.7349798,0.087686019
27.21572528,49.48476941,31.3418571,22.64564368,6.067468245,9.34303309,6.002896293,6.063617925,0.75,0.020017367,0.081506823,0.045139493,0.181818182,0,22.80517578,66.06563592,64.67844716
28.5511791,66.3996304,22.22431149,26.26425087,8.060716469,9.5,8.648658558,7.937789028,0.727834767,0.066861366,0.044248155,0.144455097,0.045454545,0,28.72625852,24.57667264,7.724551531
30.65791747,17.89883398,17.79301953,21.61097263,6.4981534,6.888114765,6.023664125,6.142155957,0.488803144,0.083406018,0.021882353,0.173345313,0.295454545,0.068181818,17.73413182,38.42470427,36.17112787
10.07607992,22.4907533,25.2497541,25.07363144,6.760569815,6.452838633,6.30403454,6.504602798,0.11006018,0.024765629,0.077158321,0.200464413,0.272727273,0.090909091,18.44414395,28.24602994,22.96351915
7.382575256,26.68529192,29.06015469,8.957585134,6.310584531,6.019400764,6.030858175,6.033876165,0.192051089,0.507555354,0.639834091,0.220596055,0.272727273,0.113636364,16.86801098,61.91353677,65.75165199
4.984367354,13.3288592,12.10006611,15.40532283,8.515681744,8.961774922,8.741785871,7.960465324,0.749989772,0.062957237,0.020810509,0.716185039,0.25,0.022727273,21.54379242,12.0850303,0.003745339
29.84760291,24.32091185,12.07768876,15.00752144,6.162140214,7.993218093,6.012559764,6.012515348,0.234730472,0.705296155,0.048913094,0.64466415,0.295454545,0.022727273,17.96113916,50.21797147,50.41936559
14.45201293,15.93349049,30.88926217,24.25774838,6.525522788,6.690319062,6.116620645,6.31196905,0.694786385,0.580658378,0.020322116,0.02,0.25,0.068181818,18.14322287,38.14807279,35.36274595
1.071253648,48.83053034,26.76483772,19.47771058,6.805704009,9.357744002,6.262150641,6.739781315,0.695397893,0.020009374,0.022513863,0.08473429,0.181818182,0,24.12668556,31.1099684,20.50428297
3.857793367,21.45587702,5.860523758,4.917753763,6.486249133,7.081001535,6.02371704,6.304838948,0.645267531,0.063886809,0.031063014,0.179288425,0.295454545,0.045454545,17.99638017,34.13778201,30.64768853
29.65296075,65.98160204,29.05564419,12.61200878,6.296084422,7.301368986,6.029082612,6.168228762,0.639017384,0.021007702,0.020251219,0.034500306,0.068181818,0,25.29117696,60.52627072,55.245603
17.4665712,22.49189276,31.60387653,10.29891999,6.103512253,7.161535075,6,6.007020936,0.486715652,0.431078912,0.021521238,0.184238946,0.25,0.045454545,17.61666253,59.44073116,62.01508889
34.82462213,61.02772618,27.56968762,27.89323676,6.206892009,8.42212237,6.091917126,6.030201652,0.256198667,0.021510636,0.051011304,0.419534614,0.090909091,0,24.68917978,62.91398051,58.8578421
33.12860801,59.50294766,23.59882704,15.1645528,6.17160989,7.327551052,6.06633579,6.002051271,0.394912733,0.022021541,0.12445144,0.267209532,0.113636364,0,24.11925086,63.54633857,60.2398817
1.648238523,26.90397312,33.47426093,25.71329209,6.010920119,6.074248967,6.036773542,6.025837204,0.033612289,0.040700937,0.038061286,0.595192987,0.25,0.090909091,16.89735223,73.61423143,80.07971946
11.72503407,43.39448758,15.59978504,11.34913929,7.823464513,9.5,8.789984036,7.339719105,0.75,0.035449979,0.02,0.033990186,0.204545455,0,24.59525102,17.5736788,3.512470361
28.20840737,21.56488706,25.89522877,4.119796716,6.436939224,6.465570697,6.458737065,6.22198632,0.387514669,0.16551922,0.020378912,0.696640357,0.25,0.090909091,18.05191958,35.52509367,32.32071838
17.82295921,96.3739894,26.05388069,28.20330402,6.930534744,6.276519804,6.85945355,6.086360713,0.213449281,0.02,0.07849293,0.02,0,0,26.90209632,76.23380105,72.73635588
29.84760291,24.32091185,12.07768876,15.8202666,6.165004831,7.993218093,6.014377465,6.012515348,0.234730472,0.247001136,0.104305626,0.649673982,0.295454545,0.022727273,17.97523098,50.08454196,50.2415449
7.357926397,30.07375293,15.49464017,28.75760271,6.441801937,8.712020188,6.000934057,6.067542554,0.423676683,0.66801719,0.020636703,0.042960291,0.295454545,0,19.10257732,43.13120754,40.5120179
13.04200502,22.15413996,11.89412895,1.839904835,6.173474542,6.91469989,6,6.238352294,0.226752534,0.470948854,0.02,0.685612846,0.295454545,0.045454545,17.62046011,43.66323593,42.73097185
30.58108747,24.30183354,10.20674136,15.93151098,7.533113546,8.029667301,7.355544966,6.915103015,0.185025553,0.593599331,0.021607595,0.050300266,0.295454545,0.022727273,20.44940437,13.34781647,2.698269582
6.828944771,6.17717192,8.019281421,10.09776732,7.189618575,7.194205117,6.428163309,6.733858161,0.747316672,0.506533361,0.02,0.02,0.295454545,0.068181818,19.23030608,17.83107411,9.429089623
28.52459042,9.461766034,23.61669193,25.86048849,7.014223388,7.463573141,6.562704575,6.725556117,0.427627154,0.711605704,0.124823109,0.025767859,0.272727273,0.045454545,19.49663935,18.09668107,9.484453365
10.44615401,28.59259048,2.626941677,10.56458958,7.904367394,9.5,8.508560463,9.495091824,0.745628531,0.02,0.393502436,0.02,0.25,0,22.49033381,12.99836233,0.131693753
17.01929378,28.75515394,15.64852905,14.88208886,7.56223115,9.488720222,8.786284428,6.912193906,0.303859577,0.247811647,0.024979259,0.431891418,0.25,0,21.61131375,14.25949443,2.598075937
7.526496685,26.24852625,9.815732842,29.10530488,6.264296965,6.096160531,6.005776806,6.007143637,0.147406985,0.560480637,0.670637688,0.654258706,0.295454545,0.090909091,16.77622549,57.80254454,60.86655997
29.00512997,14.63066969,20.20874137,15.72347683,7.312787792,7.422006964,6.413841262,6.690576246,0.370962605,0.576607217,0.020932005,0.148285055,0.295454545,0.045454545,19.28892579,17.76390076,9.281398779
10.88152795,43.39448758,15.25438351,4.732772477,8.157777157,9.489679512,8.789984036,7.40895859,0.715526124,0.058698113,0.020000038,0.040843198,0.204545455,0,24.6825286,17.53639859,3.374489759
27.11819634,43.30924229,26.07104776,4.589004848,6.616405593,7.559410142,6.432736776,6.22547458,0.360202295,0.027673599,0.020391083,0.408356288,0.227272727,0,22.50118261,36.84695031,29.26998761
7.288114062,58.63938254,22.71631651,12.79882473,6.534451834,8.77134575,6.231737492,6.280256814,0.284464091,0.02,0.02,0.394826051,0.113636364,0,24.87405246,41.93166301,32.97916157
20.25139984,102.8146951,29.6018312,33.0247106,6.169387223,6.017304318,6.048420155,6.001123241,0.735307873,0.02,0.020509473,0.690271337,0.022727273,0,24.79684399,130.0090292,140.6028845
27.93469181,21.50083558,28.25333788,12.20108905,6.579063141,6.465570697,6.194658514,6.218223974,0.387514669,0.021559888,0.020294217,0.203501242,0.25,0.090909091,17.92243134,38.02920808,35.46861528
33.01924691,24.30183354,13.45952644,4.811775406,7.530319698,7.907485352,8.001491386,7.943704376,0.302278555,0.601633246,0.021607595,0.145307931,0.272727273,0.022727273,20.97062314,11.88866008,0.365629393
28.93655748,15.21432185,15.2785285,24.23189339,8.710647794,7.413301444,8.52744611,7.966340383,0.227532401,0.120931471,0.02,0.021724083,0.25,0.045454545,20.78702817,11.48005399,0.051463861
3.857793367,21.45587702,30.05134998,4.917753763,6.486249133,7.081001535,6.02371704,6.304838948,0.645267531,0.063886809,0.031063014,0.444466704,0.272727273,0.045454545,18.18493135,39.56179928,37.04229104
24.96887557,26.68529192,29.06015469,18.85510903,6.310584531,6.019400764,6.042554241,6.209915677,0.215163154,0.57542201,0.639834091,0.042074721,0.272727273,0.113636364,17.07732479,56.07810373,58.38243197
12.65400911,56.53291032,6.746891882,1.628719291,8.331888043,9.5,7.990749976,8.283365392,0.75,0.75,0.02,0.02,0.136363636,0,27.57643742,21.88509286,5.63972225
6.253089267,58.98599091,22.77229663,4.310125156,6.127710552,7.174393734,6.003339401,6.000682046,0.111957676,0.020010554,0.024295165,0.042820138,0.136363636,0,23.79967967,66.02526315,63.59945669
33.17005943,21.30273869,26.23297934,15.31635294,6.491088523,7.321996547,6.25470086,6.203676076,0.302995706,0.130291058,0.672947035,0.069830591,0.25,0.045454545,18.39001355,34.59524027,30.82155739
30.87905915,19.78148346,22.93113824,16.06557018,7.895654186,7.230028063,7.039268602,6.955118409,0.75,0.286460111,0.037931971,0.141686284,0.272727273,0.068181818,20.03910643,13.6791576,3.518689188
