alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
29.85,24.32,12.08,15.82,6.17,7.99,6.01,6.01,0.23,0.25,0.10,0.65,0.30,0.02,18.0,50.1,50.2
7.36,30.07,15.49,28.76,6.44,8.71,6.00,6.07,0.42,0.67,0.02,0.04,0.30,0.00,19.1,43.1,40.5
13.04,22.15,11.89,1.84,6.17,6.91,6.00,6.24,0.23,0.47,0.02,0.69,0.30,0.05,17.6,43.7,42.7
30.58,24.30,10.21,15.93,7.53,8.03,7.36,6.92,0.19,0.59,0.02,0.05,0.30,0.02,20.4,13.3,2.7
6.83,6.18,8.02,10.10,7.19,7.19,6.43,6.73,0.75,0.51,0.02,0.02,0.30,0.07,19.2,17.8,9.4
28.52,9.46,23.62,25.86,7.01,7.46,6.56,6.73,0.43,0.71,0.12,0.03,0.27,0.05,19.5,18.1,9.5
10.45,28.59,2.63,10.56,7.90,9.50,8.51,9.50,0.75,0.02,0.39,0.02,0.25,0.00,22.5,13.0,0.1
17.02,28.76,15.65,14.88,7.56,9.49,8.79,6.91,0.30,0.25,0.02,0.43,0.25,0.00,21.6,14.3,2.6
7.53,26.25,9.82,29.11,6.26,6.10,6.01,6.01,0.15,0.56,0.67,0.65,0.30,0.09,16.8,57.8,60.9
29.01,14.63,20.21,15.72,7.31,7.42,6.41,6.69,0.37,0.58,0.02,0.15,0.30,0.05,19.3,17.8,9.3
10.88,43.39,15.25,4.73,8.16,9.49,8.79,7.41,0.72,0.06,0.02,0.04,0.20,0.00,24.7,17.5,3.4
27.12,43.31,26.07,4.59,6.62,7.56,6.43,6.23,0.36,0.03,0.02,0.41,0.23,0.00,22.5,36.8,29.3
7.29,58.64,22.72,12.80,6.53,8.77,6.23,6.28,0.28,0.02,0.02,0.39,0.11,0.00,24.9,41.9,33.0
20.25,102.81,29.60,33.02,6.17,6.02,6.05,6.00,0.74,0.02,0.02,0.69,0.02,0.00,24.8,130.0,140.6
27.93,21.50,28.25,12.20,6.58,6.47,6.19,6.22,0.39,0.02,0.02,0.20,0.25,0.09,17.9,38.0,35.5
33.02,24.30,13.46,4.81,7.53,7.91,8.00,7.94,0.30,0.60,0.02,0.15,0.27,0.02,21.0,11.9,0.4
28.94,15.21,15.28,24.23,8.71,7.41,8.53,7.97,0.23,0.12,0.02,0.02,0.25,0.05,20.8,11.5,0.1
3.86,21.46,30.05,4.92,6.49,7.08,6.02,6.30,0.65,0.06,0.03,0.44,0.27,0.05,18.2,39.6,37.0
24.97,26.69,29.06,18.86,6.31,6.02,6.04,6.21,0.22,0.58,0.64,0.04,0.27,0.11,17.1,56.1,58.4
12.65,56.53,6.75,1.63,8.33,9.50,7.99,8.28,0.75,0.75,0.02,0.02,0.14,0.00,27.6,21.9,5.6
6.25,58.99,22.77,4.31,6.13,7.17,6.00,6.00,0.11,0.02,0.02,0.04,0.14,0.00,23.8,66.0,63.6
33.17,21.30,26.23,15.32,6.49,7.32,6.25,6.20,0.30,0.13,0.67,0.07,0.25,0.05,18.4,34.6,30.8
30.88,19.78,22.93,16.07,7.90,7.23,7.04,6.96,0.75,0.29,0.04,0.14,0.27,0.07,20.0,13.7,3.5
5.98,24.16,25.29,11.25,6.41,7.75,6.28,6.06,0.26,0.25,0.08,0.43,0.27,0.02,18.5,39.7,37.0
32.00,13.84,23.05,23.34,7.76,7.40,7.20,7.37,0.72,0.57,0.04,0.22,0.25,0.05,20.3,12.2,1.4
18.30,22.49,31.60,10.30,6.51,6.27,6.00,6.01,0.47,0.43,0.12,0.18,0.25,0.09,17.2,54.8,56.7
24.34,0.00,4.71,21.79,6.36,6.82,6.02,6.09,0.52,0.62,0.72,0.09,0.30,0.07,17.6,42.9,41.9
13.63,43.31,26.08,11.06,6.61,7.56,6.42,6.23,0.69,0.02,0.02,0.03,0.23,0.00,22.5,37.0,29.5
33.39,15.66,23.61,21.48,7.06,6.84,6.77,6.71,0.69,0.28,0.02,0.02,0.25,0.07,19.4,18.3,9.8
20.25,102.81,17.08,15.20,6.17,6.03,6.05,6.02,0.74,0.02,0.03,0.75,0.05,0.00,24.7,120.8,129.5
12.22,18.47,4.00,10.70,7.59,7.44,7.36,7.76,0.75,0.62,0.75,0.12,0.30,0.05,20.4,11.4,0.3
6.77,7.32,14.93,10.10,7.19,7.20,6.42,6.73,0.30,0.51,0.02,0.02,0.30,0.07,19.2,17.9,9.5
32.60,49.58,28.61,2.83,6.66,8.02,6.18,6.32,0.05,0.02,0.06,0.75,0.16,0.00,23.6,40.9,33.0
